instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,season_indonesia,weather_indonesia,month_indonesia
35,2011-01-02,Spring,2011,1,11,0,0,Hari Libur,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds",0.36,0.3333,0.71,0.2537,16,54,70,Musim Semi,Berawan/Berkabut,Januari
36,2011-01-02,Spring,2011,1,12,0,0,Hari Libur,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds",0.36,0.3333,0.66,0.2985,20,73,93,Musim Semi,Berawan/Berkabut,Januari
37,2011-01-02,Spring,2011,1,13,0,0,Hari Libur,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds",0.36,0.3485,0.66,0.1343,11,64,75,Musim Semi,Berawan/Berkabut,Januari
38,2011-01-02,Spring,2011,1,14,0,0,Hari Libur,"Light Snow, Light Rain + Thunderstorm + Scattered clouds",0.36,0.3485,0.76,0.194,4,55,59,Musim Semi,Hujan Ringan/Salju,Januari
39,2011-01-02,Spring,2011,1,15,0,0,Hari Libur,"Light Snow, Light Rain + Thunderstorm + Scattered clouds",0.34,0.3333,0.81,0.1642,19,55,74,Musim Semi,Hujan Ringan/Salju,Januari
40,2011-01-02,Spring,2011,1,16,0,0,Hari Libur,"Light Snow, Light Rain + Thunderstorm + Scattered clouds",0.34,0.3333,0.71,0.1642,9,67,76,Musim Semi,Hujan Ringan/Salju,Januari
41,2011-01-02,Spring,2011,1,17,0,0,Hari Libur,"Clear, Few clouds, Partly cloudy",0.34,0.3333,0.57,0.194,7,58,65,Musim Semi,Cerah,Januari
42,2011-01-02,Spring,2011,1,18,0,0,Hari Libur,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds",0.36,0.3333,0.46,0.3284,10,43,53,Musim Semi,Berawan/Berkabut,Januari
43,2011-01-02,Spring,2011,1,19,0,0,Hari Libur,"Clear, Few clouds, Partly cloudy",0.32,0.2879,0.42,0.4478,1,29,30,Musim Semi,Cerah,Januari
44,2011-01-02,Spring,2011,1,20,0,0,Hari Libur,"Clear, Few clouds, Partly cloudy",0.3,0.2727,0.39,0.3582,5,17,22,Musim Semi,Cerah,Januari
45,2011-01-02,Spring,2011,1,21,0,0,Hari Libur,"Clear, Few clouds, Partly cloudy",0.26,0.2273,0.44,0.3284,11,20,31,Musim Semi,Cerah,Januari
46,2011-01-02,Spring,2011,1,22,0,0,Hari Libur,"Clear, Few clouds, Partly cloudy",0.24,0.2121,0.44,0.2985,0,9,9,Musim Semi,Cerah,Januari
47,2011-01-02,Spring,2011,1,23,0,0,Hari Libur,"Clear, Few clouds, Partly cloudy",0.22,0.2273,0.47,0.1642,0,8,8,Musim Semi,Cerah,Januari
48,2011-01-03,Spring,2011,1,0,0,1,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.22,0.197,0.44,0.3582,0,5,5,Musim Semi,Cerah,Januari
49,2011-01-03,Spring,2011,1,1,0,1,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.2,0.1667,0.44,0.4179,0,2,2,Musim Semi,Cerah,Januari
50,2011-01-03,Spring,2011,1,4,0,1,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.16,0.1364,0.47,0.3881,0,1,1,Musim Semi,Cerah,Januari
51,2011-01-03,Spring,2011,1,5,0,1,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.16,0.1364,0.47,0.2836,0,3,3,Musim Semi,Cerah,Januari
52,2011-01-03,Spring,2011,1,6,0,1,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.14,0.1061,0.5,0.3881,0,30,30,Musim Semi,Cerah,Januari
53,2011-01-03,Spring,2011,1,7,0,1,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.14,0.1364,0.5,0.194,1,63,64,Musim Semi,Cerah,Januari
54,2011-01-03,Spring,2011,1,8,0,1,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.14,0.1212,0.5,0.2836,1,153,154,Musim Semi,Cerah,Januari
55,2011-01-03,Spring,2011,1,9,0,1,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.16,0.1364,0.43,0.3881,7,81,88,Musim Semi,Cerah,Januari
56,2011-01-03,Spring,2011,1,10,0,1,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.18,0.1667,0.43,0.2537,11,33,44,Musim Semi,Cerah,Januari
57,2011-01-03,Spring,2011,1,11,0,1,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.2,0.1818,0.4,0.3284,10,41,51,Musim Semi,Cerah,Januari
58,2011-01-03,Spring,2011,1,12,0,1,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.22,0.2121,0.35,0.2985,13,48,61,Musim Semi,Cerah,Januari
59,2011-01-03,Spring,2011,1,13,0,1,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.24,0.2121,0.35,0.2836,8,53,61,Musim Semi,Cerah,Januari
60,2011-01-03,Spring,2011,1,14,0,1,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.26,0.2424,0.3,0.2836,11,66,77,Musim Semi,Cerah,Januari
61,2011-01-03,Spring,2011,1,15,0,1,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.26,0.2424,0.3,0.2537,14,58,72,Musim Semi,Cerah,Januari
62,2011-01-03,Spring,2011,1,16,0,1,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.26,0.2424,0.3,0.2537,9,67,76,Musim Semi,Cerah,Januari
63,2011-01-03,Spring,2011,1,17,0,1,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.24,0.2273,0.3,0.2239,11,146,157,Musim Semi,Cerah,Januari
64,2011-01-03,Spring,2011,1,18,0,1,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.24,0.2576,0.32,0.1045,9,148,157,Musim Semi,Cerah,Januari
65,2011-01-03,Spring,2011,1,19,0,1,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.2,0.2576,0.47,0.0,8,102,110,Musim Semi,Cerah,Januari
66,2011-01-03,Spring,2011,1,20,0,1,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.2,0.2273,0.47,0.1045,3,49,52,Musim Semi,Cerah,Januari
67,2011-01-03,Spring,2011,1,21,0,1,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.18,0.197,0.64,0.1343,3,49,52,Musim Semi,Cerah,Januari
68,2011-01-03,Spring,2011,1,22,0,1,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.14,0.1515,0.69,0.1343,0,20,20,Musim Semi,Cerah,Januari
69,2011-01-03,Spring,2011,1,23,0,1,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.18,0.2121,0.55,0.1045,1,11,12,Musim Semi,Cerah,Januari
70,2011-01-04,Spring,2011,1,0,0,2,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.16,0.1818,0.55,0.1045,0,5,5,Musim Semi,Cerah,Januari
71,2011-01-04,Spring,2011,1,1,0,2,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.16,0.1818,0.59,0.1045,0,2,2,Musim Semi,Cerah,Januari
72,2011-01-04,Spring,2011,1,2,0,2,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.14,0.1515,0.63,0.1343,0,1,1,Musim Semi,Cerah,Januari
73,2011-01-04,Spring,2011,1,4,0,2,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.14,0.1818,0.63,0.0896,0,2,2,Musim Semi,Cerah,Januari
74,2011-01-04,Spring,2011,1,5,0,2,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.12,0.1515,0.68,0.1045,0,4,4,Musim Semi,Cerah,Januari
75,2011-01-04,Spring,2011,1,6,0,2,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.12,0.1515,0.74,0.1045,0,36,36,Musim Semi,Cerah,Januari
76,2011-01-04,Spring,2011,1,7,0,2,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.12,0.1515,0.74,0.1343,2,92,94,Musim Semi,Cerah,Januari
77,2011-01-04,Spring,2011,1,8,0,2,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.14,0.1515,0.69,0.1642,2,177,179,Musim Semi,Cerah,Januari
78,2011-01-04,Spring,2011,1,9,0,2,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.16,0.1515,0.64,0.2239,2,98,100,Musim Semi,Cerah,Januari
79,2011-01-04,Spring,2011,1,10,0,2,Hari Kerja,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds",0.16,0.1364,0.69,0.3284,5,37,42,Musim Semi,Berawan/Berkabut,Januari
80,2011-01-04,Spring,2011,1,11,0,2,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.22,0.2121,0.51,0.2985,7,50,57,Musim Semi,Cerah,Januari
81,2011-01-04,Spring,2011,1,12,0,2,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.22,0.2273,0.51,0.1642,12,66,78,Musim Semi,Cerah,Januari
82,2011-01-04,Spring,2011,1,13,0,2,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.24,0.2273,0.56,0.194,18,79,97,Musim Semi,Cerah,Januari
83,2011-01-04,Spring,2011,1,14,0,2,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.26,0.2576,0.52,0.2239,9,54,63,Musim Semi,Cerah,Januari
84,2011-01-04,Spring,2011,1,15,0,2,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.28,0.2727,0.52,0.2537,17,48,65,Musim Semi,Cerah,Januari
85,2011-01-04,Spring,2011,1,16,0,2,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.3,0.2879,0.49,0.2537,15,68,83,Musim Semi,Cerah,Januari
86,2011-01-04,Spring,2011,1,17,0,2,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.28,0.2727,0.48,0.2239,10,202,212,Musim Semi,Cerah,Januari
87,2011-01-04,Spring,2011,1,18,0,2,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.26,0.2576,0.48,0.194,3,179,182,Musim Semi,Cerah,Januari
88,2011-01-04,Spring,2011,1,19,0,2,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.24,0.2576,0.48,0.1045,2,110,112,Musim Semi,Cerah,Januari
89,2011-01-04,Spring,2011,1,20,0,2,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.24,0.2576,0.48,0.1045,1,53,54,Musim Semi,Cerah,Januari
90,2011-01-04,Spring,2011,1,21,0,2,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.22,0.2727,0.64,0.0,0,48,48,Musim Semi,Cerah,Januari
91,2011-01-04,Spring,2011,1,22,0,2,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.22,0.2576,0.64,0.0896,1,34,35,Musim Semi,Cerah,Januari
92,2011-01-04,Spring,2011,1,23,0,2,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.2,0.2273,0.69,0.0896,2,9,11,Musim Semi,Cerah,Januari
93,2011-01-05,Spring,2011,1,0,0,3,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.2,0.2576,0.64,0.0,0,6,6,Musim Semi,Cerah,Januari
94,2011-01-05,Spring,2011,1,1,0,3,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.16,0.197,0.74,0.0896,0,6,6,Musim Semi,Cerah,Januari
95,2011-01-05,Spring,2011,1,2,0,3,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.16,0.197,0.74,0.0896,0,2,2,Musim Semi,Cerah,Januari
96,2011-01-05,Spring,2011,1,4,0,3,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.24,0.2273,0.48,0.2239,0,2,2,Musim Semi,Cerah,Januari
97,2011-01-05,Spring,2011,1,5,0,3,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.22,0.2273,0.47,0.1642,0,3,3,Musim Semi,Cerah,Januari
98,2011-01-05,Spring,2011,1,6,0,3,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.2,0.197,0.47,0.2239,0,33,33,Musim Semi,Cerah,Januari
99,2011-01-05,Spring,2011,1,7,0,3,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.18,0.1818,0.43,0.194,1,87,88,Musim Semi,Cerah,Januari
100,2011-01-05,Spring,2011,1,8,0,3,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.2,0.1818,0.4,0.2985,3,192,195,Musim Semi,Cerah,Januari
101,2011-01-05,Spring,2011,1,9,0,3,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.22,0.197,0.37,0.3284,6,109,115,Musim Semi,Cerah,Januari
102,2011-01-05,Spring,2011,1,10,0,3,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.22,0.197,0.37,0.3284,4,53,57,Musim Semi,Cerah,Januari
103,2011-01-05,Spring,2011,1,11,0,3,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.26,0.2273,0.33,0.3284,12,34,46,Musim Semi,Cerah,Januari
104,2011-01-05,Spring,2011,1,12,0,3,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.26,0.2273,0.33,0.3284,5,74,79,Musim Semi,Cerah,Januari
105,2011-01-05,Spring,2011,1,13,0,3,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.28,0.2576,0.3,0.2985,6,65,71,Musim Semi,Cerah,Januari
106,2011-01-05,Spring,2011,1,14,0,3,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.3,0.2879,0.28,0.194,10,52,62,Musim Semi,Cerah,Januari
107,2011-01-05,Spring,2011,1,15,0,3,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.3,0.2879,0.28,0.194,7,55,62,Musim Semi,Cerah,Januari
108,2011-01-05,Spring,2011,1,16,0,3,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.3,0.3182,0.28,0.0896,4,85,89,Musim Semi,Cerah,Januari
109,2011-01-05,Spring,2011,1,17,0,3,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.24,0.2273,0.38,0.194,4,186,190,Musim Semi,Cerah,Januari
110,2011-01-05,Spring,2011,1,18,0,3,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.24,0.2424,0.38,0.1343,3,166,169,Musim Semi,Cerah,Januari
111,2011-01-05,Spring,2011,1,19,0,3,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.24,0.2576,0.38,0.1045,5,127,132,Musim Semi,Cerah,Januari
112,2011-01-05,Spring,2011,1,20,0,3,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.22,0.2273,0.47,0.1642,7,82,89,Musim Semi,Cerah,Januari
113,2011-01-05,Spring,2011,1,21,0,3,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.2,0.197,0.51,0.194,3,40,43,Musim Semi,Cerah,Januari
114,2011-01-05,Spring,2011,1,22,0,3,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.18,0.197,0.55,0.1343,1,41,42,Musim Semi,Cerah,Januari
115,2011-01-05,Spring,2011,1,23,0,3,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.2,0.2576,0.47,0.0,1,18,19,Musim Semi,Cerah,Januari
116,2011-01-06,Spring,2011,1,0,0,4,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.18,0.2424,0.55,0.0,0,11,11,Musim Semi,Cerah,Januari
117,2011-01-06,Spring,2011,1,1,0,4,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.16,0.2273,0.64,0.0,0,4,4,Musim Semi,Cerah,Januari
118,2011-01-06,Spring,2011,1,2,0,4,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.16,0.2273,0.64,0.0,0,2,2,Musim Semi,Cerah,Januari
119,2011-01-06,Spring,2011,1,4,0,4,Hari Kerja,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds",0.16,0.197,0.64,0.0896,0,1,1,Musim Semi,Berawan/Berkabut,Januari
120,2011-01-06,Spring,2011,1,5,0,4,Hari Kerja,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds",0.14,0.1818,0.69,0.0896,0,4,4,Musim Semi,Berawan/Berkabut,Januari
121,2011-01-06,Spring,2011,1,6,0,4,Hari Kerja,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds",0.14,0.1667,0.63,0.1045,0,36,36,Musim Semi,Berawan/Berkabut,Januari
122,2011-01-06,Spring,2011,1,7,0,4,Hari Kerja,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds",0.16,0.2273,0.59,0.0,0,95,95,Musim Semi,Berawan/Berkabut,Januari
123,2011-01-06,Spring,2011,1,8,0,4,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.16,0.2273,0.59,0.0,3,216,219,Musim Semi,Cerah,Januari
124,2011-01-06,Spring,2011,1,9,0,4,Hari Kerja,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds",0.18,0.2424,0.51,0.0,6,116,122,Musim Semi,Berawan/Berkabut,Januari
125,2011-01-06,Spring,2011,1,10,0,4,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.2,0.2576,0.47,0.0,3,42,45,Musim Semi,Cerah,Januari
126,2011-01-06,Spring,2011,1,11,0,4,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.22,0.2576,0.44,0.0896,2,57,59,Musim Semi,Cerah,Januari
127,2011-01-06,Spring,2011,1,12,0,4,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.26,0.2879,0.35,0.0,6,78,84,Musim Semi,Cerah,Januari
128,2011-01-06,Spring,2011,1,13,0,4,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.26,0.2727,0.35,0.1045,12,55,67,Musim Semi,Cerah,Januari
129,2011-01-06,Spring,2011,1,14,0,4,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.28,0.2727,0.36,0.1642,11,59,70,Musim Semi,Cerah,Januari
130,2011-01-06,Spring,2011,1,15,0,4,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.28,0.2727,0.36,0.0,8,54,62,Musim Semi,Cerah,Januari
131,2011-01-06,Spring,2011,1,16,0,4,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.26,0.2576,0.38,0.1642,12,74,86,Musim Semi,Cerah,Januari
132,2011-01-06,Spring,2011,1,17,0,4,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.22,0.2273,0.51,0.1642,9,163,172,Musim Semi,Cerah,Januari
133,2011-01-06,Spring,2011,1,18,0,4,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.22,0.2273,0.51,0.1343,5,158,163,Musim Semi,Cerah,Januari
134,2011-01-06,Spring,2011,1,19,0,4,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.22,0.2576,0.55,0.0896,3,109,112,Musim Semi,Cerah,Januari
135,2011-01-06,Spring,2011,1,20,0,4,Hari Kerja,"Clear, Few clouds, Partly cloudy",0.2,0.2121,0.51,0.1642,3,66,69,Musim Semi,Cerah,Januari
136,2011-01-06,Spring,2011,1,21,0,4,Hari Kerja,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds",0.22,0.2121,0.55,0.2239,0,48,48,Musim Semi,Berawan/Berkabut,Januari
137,2011-01-06,Spring,2011,1,22,0,4,Hari Kerja,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds",0.22,0.2121,0.51,0.2836,1,51,52,Musim Semi,Berawan/Berkabut,Januari
138,2011-01-06,Spring,2011,1,23,0,4,Hari Kerja,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds",0.2,0.197,0.59,0.194,4,19,23,Musim Semi,Berawan/Berkabut,Januari
139,2011-01-07,Spring,2011,1,0,0,5,Hari Kerja,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds",0.2,0.197,0.64,0.194,4,13,17,Musim Semi,Berawan/Berkabut,Januari
140,2011-01-07,Spring,2011,1,1,0,5,Hari Kerja,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds",0.2,0.197,0.69,0.2239,2,5,7,Musim Semi,Berawan/Berkabut,Januari
141,2011-01-07,Spring,2011,1,2,0,5,Hari Kerja,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds",0.2,0.197,0.69,0.2239,0,1,1,Musim Semi,Berawan/Berkabut,Januari
142,2011-01-07,Spring,2011,1,4,0,5,Hari Kerja,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds",0.2,0.2121,0.69,0.1343,0,1,1,Musim Semi,Berawan/Berkabut,Januari
143,2011-01-07,Spring,2011,1,5,0,5,Hari Kerja,"Light Snow, Light Rain + Thunderstorm + Scattered clouds",0.22,0.2727,0.55,0.0,0,5,5,Musim Semi,Hujan Ringan/Salju,Januari
144,2011-01-07,Spring,2011,1,6,0,5,Hari Kerja,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds",0.2,0.2576,0.69,0.0,8,26,34,Musim Semi,Berawan/Berkabut,Januari
